charge_code,severity,class,short_desc,mshp_code,ncic_code,statute,long_desc,osca_type,sevclass_value,ncic_category,legacy,OLD_category,OLD_ncic,dv
46256,I,,CIGRET W/I 25 FT VEH TRANS HAZ MAT,HAZMAT,54,307400,SMOKED/CARRIED LIGHTED CIGARETTE WITHIN 25 FEET OF MOTOR CARRIER VEHICLE TRANSPORTING HAZARDOUS MATERIALS,IN,12,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46255,M,B,SMOKED W/I 25 FT VEH TRANS HAZMAT,HAZMAT,54,307400,SMOKED OR CARRIED LIGHTED CIGARETTE WITHIN 25 FEET OF A MOTOR CARRIER VEHICLE TRANSPORTING HAZARDOUS MATERIALS,,8,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46253,I,,FAIL TO ATTEND VEH TRANSP HAZ MAT,HAZMAT,54,307400,FAIL TO REMAIN WITH/ATTEND MOTOR CARRIER VEHICLE TRANSPORTING HAZARDOUS MATERIALS,IN,12,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46252,M,B,FAIL-REMAIN W/ VEH TRANS HAZMAT,HAZMAT,54,307400,FAILED TO REMAIN WITH/ATTEND MOTOR CARRIER VEHICLE TRANSPORTING HAZARDOUS MATERIALS,,8,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46249,M,B,IMPROPER DRIVER LOG-MAX DRIVE TIME,DOTVIO,54,307400,FAILED TO KEEP PROPER/MADE FALSE MOTOR CARRIER DRIVER'S RECORD - EXCEEDED MAXIMUM DRIVING TIME,,8,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46248,I,,MTR CARR DRVR EXCEEDED MAX DR TIME,DOTVIO,54,307400,FAIL TO KEEP PROPER/MADE FALSE MOTOR CARRIER DRIVER'S RECORD- EXCEEDED MAXIMUM DRIVING TIME,IN,12,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46246,M,B,OPERATED AS MOTOR CARRIER W/O MED CERT,DOTVIO,54,307400,OPERATED AS MOTOR CARRIER WITHOUT MEDICAL CERTIFICATE,,8,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46245,I,,OPER AS MTR CARRIER W/O MED CERT,DOTVIO,54,307400,OPERATE AS MOTOR CARRIER WITHOUT MEDICAL CERTIFICATE,IN,12,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
33310,M,U,ILL MFGR LIQUOR,MISLIQ,41,311050,MANUFACTURE LIQUOR WITHOUT PROPER LICENSE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33025,M,U,N REPT-EMPL-CONV FELON,MISLIQ,41,311060,FAILURE OF LICENSEE TO REPORT EMPLOYMENT OF CONVICTED FELON,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33120,M,U,POSSESS DRINK ON SUNDAY,MISLIQ,41,311097,VIOLATION OF PROVISIONS RELATING TO SUNDAY SALE OF LIQUOR IN RESTAURANT BAR BEFORE HOUR,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33230,M,U,SALE BY DRINK W/O LIC,MISLIQ,41,311100,SALE BY THE DRINK WITHOUT LICENSE ORIGINAL PACKAGE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33300,M,U,SELL LIQ OFF LIC PREMISE,MISLIQ,41,311170,SELLING OFF THE LICENSE PREMISES INTOXICATING LIQUOR,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33090,M,U,MANUFACT/SELL LIQ W/O LIC,MISLIQ,41,311180,MANUFACTURE OR SALE OF LIQUOR WITHOUT LICENSE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33085,M,C,AUCTIONEER-NO SORCE WINE,MISLIQ,41,311191,FAILURE BY VINTAGE WINE AUCTIONEER TO ESTABLISH SOURCE OF WINE,M,9,LIQUOR LAWS,TRUE,Liquor Laws,41,
33195,M,U,SELL 32 OZ BEER/MORE-VIOL SECTION,MISLIQ,41,311196,SELL 32 OUNCES OR MORE OF BEER IN VIOLATION OF THIS SECTION,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33200,M,U,CONSUME LIQ WHERE SOLD,MISLIQ,41,311200,COMSUMPTION OF LIQUOR ON PREMISES WHERE SOLD,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33091,M,U,FAIL PAY CNTY/MUNI LIC FEE LESS THAN 1 1/2 TIMES THE STATE FEE,MISLIQ,41,311220,FAIL TO PAY COUNTY TREASURY OF PERMIT/LICENSE A FEE NOT EXCEEDING CORRESPONDING STATE FEE OR IN MUNICIPALITY A FEE NOT EXCEEDING 1 1/2 TIMES STATE FEE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33095,M,A,CONDUCT BUS W/O FED RECT,MISLIQ,41,311240,CONDUCTING BUSINESS WITHOUT FEDERAL RECEIPT AFFIXED TO LIQUOR LICENSE,M,7,LIQUOR LAWS,TRUE,Liquor Laws,41,
33150,M,U,POSSESS 5.0 MALT LICENSE,MISLIQ,41,311270,POSSESSION OF INTOXICATING LIQUOR WHEN LICENSED TO SELL MALT LIQUOR ONLY,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33170,M,U,PURCHASE NON-WHOLESALER,MISLIQ,41,311280,PURCHASING LIQUOR FROM SOMEONE OTHER THAN WHOLESALER,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33010,M,U,LIQ VIO-FAIL KEEP CLOSE,MISLIQ,41,311290,AFTER HOURS/SUNDAY SALES OF LIQUOR - FAILURE TO KEEP A CLOSED PLACE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33011,M,A,AFTER HOURS/SUNDAY SALES OF LIQUOR - FAIL TO KEEP CLOSED PLACE,MISLIQ,41,311290,AFTER HOURS/SUNDAY SALES OF LIQUOR - FAILURE TO KEEP A CLOSED PLACE,M,7,LIQUOR LAWS,TRUE,Liquor Laws,41,
33260,M,U,SELL LIQ ON SUNDAY,MISLIQ,41,311290,SELLING INTOXICATING LIQUOR ON SUNDAY,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33250,M,U,SELL LIQ ON ELECTION DAY,MISLIQ,41,311290,SELLING INTOXICATING LIQUOR ON ELECTION DAY,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33220,M,U,SELL LIQ AFTER LEGAL HRS,MISLIQ,41,311290,SELLING INTOXICATING LIQUOR AFTER LEGAL HOURS,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33060,M,U,MINOR SELLING INTOXICANT,MISLIQ,41,311300,MINOR SELLING INTOXICATING LIQUOR,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33070,M,U,MINOR SELL 3.2 BEER,MISLIQ,41,311300,PERMIT MINOR TO SELL NON-INTOXICATING BEER,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33030,M,U,SUPPLY LIQ MIN/INTOX PER,MISLIQ,41,311310,SUPPLYING LIQUOR TO A MINOR OR INTOXICATED PERSON,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33033,M,A,FAIL-STOP PERS<21 DRK/POS LIQ-2ND,MISLIQ,41,311310,OWNER/OCCUPANT/OTHER PERSON/LEGAL ENTITY KNOWINGLY ALLOW/FAIL TO STOP PERSON UNDER THE AGE OF 21 DRINK/POSSESS INTOXICATING LIQUOR - 2ND OR SUBSEQUENT OFFENSE,M,7,LIQUOR LAWS,TRUE,Liquor Laws,41,
33037,M,B,FAIL-STOP PERS<21 DRK/POSS LIQUOR,MISLIQ,41,311310,OWNER/OCCUPANT/OTHER PERSON/LEGAL ENTITY KNOWINGLY ALLOW/FAIL TO STOP PERSON UNDER THE AGE OF 21 DRINK/POSSESS INTOXICATING LIQUOR - 1ST OFFENSE,M,8,LIQUOR LAWS,TRUE,Liquor Laws,41,
33270,M,U,SELL LIQ TO MINOR,MISLIQ,41,311310,SELLING INTOXICATING LIQUOR TO A MINOR,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33160,M,U,PROCUREMENT FOR MINOR,MISLIQ,41,311310,PROCURING INTOXICATING LIQUOR FOR MINOR,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33022,M,U,GIVE FALS AGE WHEN U 21,MISLIQ,41,311320,MISREPRESENTATION OF AGE BY MINOR TO OBTAIN LIQUOR,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33024,M,U,USING ALTERED ID CARD,MISLIQ,41,311320,"""USING ALTERD ID CARD OR PURPOSE OF PURCHASING, ASKING FOR, INTOX LIQUOR""",,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33020,M,U,FALSIFY AGE/OBTAIN LIQ,MISLIQ,41,311320,FALSIFYING AGE TO OBTAIN LIQUOR,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33040,M,U,MINR PUR/ATMP PUR/POSS LIQ-1ST,MISLIQ,41,311325,PURCHASE/ATTEMPT TO PURCHASE OR POSSESSION OF LIQUOR BY MINOR - 1ST OFFENSE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33041,M,U,MINR POSS PUR/ATMP LIQ-2ND/SUB,MISLIQ,41,311325,PURCHASE/ATTEMPT TO PURCHASE OR POSSESSION OF LIQUOR BY MINOR - 2ND OR SUBSEQUENT OFFENSE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33045,M,U,MINR INTOX/BAC > .02%-1ST OFFENSE,MISLIQ,41,311325,MINOR VISIBLY INTOXICATED/BLOOD ALCOHOL CONTENT MORE THAN .02% - 1ST OFFENSE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33046,M,U,MINR INTOX/BAC > .02% - 2ND/SUB,MISLIQ,41,311325,MINOR VISIBLY INTOXICATED/BLOOD ALCOHOL CONTENT MORE THAN .02% - 2ND OR SUBSEQUENT OFFENSE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
46671,M,U,ALTERED OPR LIC/ID CARD,OTHSAF,54,311328,REPRODUCE/ALTER/MODIFY/MISREPRESENT WITHOUT AUTHORIZATION ANY OPERATOR'S LICENSE OR IDENTIFICATION CARD ISSUED BY DEPARTMENT OF REVENUE,T,11,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46680,M,A,UNDER 21 POSS ILEGL ID,OTHSAF,54,311329,"PERSON UNDER 21 YEARS POSSESS REPRODUCED, MODIFIED OR ALTERED DRIVER'S LICENSE, MILITARY IDENTIFICATION OR IDENTIFICATION CARD",M,7,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
33330,M,U,UNAUTH LIQ-LIC SALE/DRNK,MISLIQ,41,311330,POSSESSION OF LIQUOR NOT AUTHORIZED IN LICENSE,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33333,M,U,FAIL PROV INFO RE LIQUOR-VIOL SECT,MISLIQ,41,311333,FAIL TO PROVIDE INFORMATION REGARDING LIQUOR AS REQUIRED BY THIS SECTION,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33335,M,U,SELL/PURCH CLOSE-OUT LIQR MERCHANDISE,MISLIQ,41,311335,OFFER TO SELL OR PURCHASE CLOSE-OUT LIQUOR MERCHANDISE IN VIOLATION OF THIS SECTION,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33340,M,U,VIO WHOLESALE PRICE REG,MISLIQ,41,311338,VIOLATION OF WHOLESALE PRICE REGULATIONS,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33080,M,U,MISREPRESENT LIQ BRAND,MISLIQ,41,311360,MISREPRESENTATION OF BRAND OF LIQUOR,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33315,F,U,ILLEGAL TRANSPORT LIQ,FELLIQ,41,311410,TRANSPORT OF ILLEGALLY MANUFACTURED LIQUOR - TRANSPORTED WITHOUT REQUIRED FEE OR LICENSE,F,6,LIQUOR LAWS,TRUE,Liquor Laws,41,
33320,M,U,ILLEGAL TRANSP OF LIQUOR,MISLIQ,41,311410,ILLEGAL TRANSPORTATION OF LIQUOR,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33370,F,U,TRANSPORT LIQUOR W/O LIC,FELLIQ,41,311420,CARRYING LIQUOR WITHOUT TRANSPORTER'S LICENSE,F,6,LIQUOR LAWS,TRUE,Liquor Laws,41,
33382,F,U,TRANS LIQ W/O SHIP BILL,FELLIQ,41,311450,TRANSPORTING LIQUOR WITHOUT BILL OF LADING OR PROOF OF SHIPMENT,F,6,LIQUOR LAWS,TRUE,Liquor Laws,41,
33380,F,U,TRANS LIQ W/O SHIP BILL,FELLIQ,41,311450,TRANSPORTING OVER 5 GAL OF ALC LIQUOR INTERSTATE/INTRASTATE W/O PROOF OF SHIP,,6,LIQUOR LAWS,TRUE,Liquor Laws,41,
33100,M,A,PERMIT CONSU UNLIC PREM,MISLIQ,41,311480,LIQUOR SALES WITHOUT LICENSE - PERMITTING CONSUMPTION BY MINOR/AFTER HOURS/ON SUNDAY,M,7,LIQUOR LAWS,TRUE,Liquor Laws,41,
33213,M,U,SELL BEER-INGREDIENTS-NO COMPLI,MISLIQ,41,311490,BREW/MANUFACTURE/SELL BEER OR MALT LIQUOR WHEN INGREDIENTS ARE NOT IN COMPLIANCE WITH THE STANDARDS IN SECTION 311.490,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33285,F,U,SELL INTOX LIQ W/O LIC,FELLIQ,41,311550,SELLING LIQUOR WITHOUT PAYMENT OF ADDITIONAL REVENUE CHARGE OR WITHOUT LICENSE,F,6,LIQUOR LAWS,TRUE,Liquor Laws,41,
33290,M,U,FAIL TO DESTROY EMPTY LIQ CONTAINERS,MISLIQ,41,311550,FAILURE TO DESTROY EMPTY LIQUOR CONTAINERS,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33390,F,U,FAIL TO PAY REQ LIQ TAX,FELLIQ,41,311550,SELLING INTOX LIQ W/O ADDITIONAL REVENUE CHARGE/TAX PER CONTAINER BEING PAID,,6,LIQUOR LAWS,TRUE,Liquor Laws,41,
33180,M,U,REFILL LIQUOR CONTAINERS,MISLIQ,41,311550,REFILLING LIQUOR CONTAINERS,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33280,M,U,SELL LIQ W/LIC SUSPENDED,MISLIQ,41,311557,SELLING INTOXICATING LIQUOR WHILE LICENSE SUSPENDED,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33130,M,U,POSSESS ILLEGAL ALCOHOL,MISLIQ,41,311580,POSSESSION OF ILLEGAL OR UNTAXED LIQUOR ALCOHOL,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33210,M,U,SELL ILLEGAL MFG ALCOHOL,MISLIQ,41,311580,SELLING ILLEGALLY MANUFACTURED ALCOHOL,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33135,M,U,MAINTN PUBL NUISNC INVOL LIQUOR,MISLIQ,41,311740,MAINTAIN A PUBLIC NUISANCE INVOLVING INTOXICATING LIQUOR IN VIOLATION OF SECTION 311.740,M,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33400,F,U,SELL LIQ W/NONINTOX LIC,FELLIQ,41,312050,SELLING LIQUOR WITH NON-INTOXICATING BEER LICENSE,,6,LIQUOR LAWS,TRUE,Liquor Laws,41,
33217,M,U,BREW NON-ALC BEER-INGRED-NO COMPLI,MISLIQ,41,312200,BREWING/MANUFACTURING NON-ALCOHOLIC BEER WHEN INGREDIENTS NOT IN COMPLIANCE WITH THE STANDARDS IN SECTION 312.200,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33190,M,U,SELL 3.2 BEER TO MINOR,MISLIQ,41,312400,SELLING 3.2 BEER TO MINOR,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33110,M,U,MISREP AGE/NONINTOX BEER,MISLIQ,41,312405,MISREPRESENTATION OF AGE BY MINOR TO OBTAIN BEER,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33050,M,U,MINOR POSS/ATMPT PUR-NONINTOX BEER,MISLIQ,41,312407,PERSON UNDER 21 YEARS OF AGE PURCHASE/ATTEMPT TO PURCHASE/POSSESS NONINTOXICATING BEER,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33240,M,U,SELL LIQUOR ON 3.2 PREMISES,MISLIQ,41,312430,SELLING INTOXICATING LIQUOR ON 3.2 PREMISES,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
33140,M,U,POSSESS ON 3.2 PREMISES,MISLIQ,41,312430,POSSESSION OF LIQUOR OR SALE OF LIQUOR BY RETAILER WITH BEER LICENSE ONLY,,11,LIQUOR LAWS,TRUE,Liquor Laws,41,
20270,M,A,ILL ASSOC GAMB BOAT APP,MISGAM,39,313004,ILLEGAL ASSOCIATION WITH A GAMBLING BOAT OR UNLAWFUL ACCEPTANCE OF GIFTS FROM A GAMBLING APPLICANT OR LICENSEE,M,7,GAMBLING,TRUE,Gambling,39,
20280,F,D,VIOL LAW RIVERBOAT GAMB,FELGAM,39,313004,VIOLATION OF LAWS PERTAINING TO RIVERBOAT GAMBLING OWNERSHIP,F,4,GAMBLING,TRUE,Gambling,39,
20262,M,A,FALSE STMT TO GAMING COM,MISGAM,39,313020,KNOWINGLY MADE FALSE STATEMENT TO GAMING COMMISSION,M,7,GAMBLING,TRUE,Gambling,39,
19830,M,A,FALSE STMT BINGO LIC APP,MISFRD,26,313020,MAKING A FALSE STATEMENT ON BINGO LICENSE APPLICATION,,7,FRAUD,TRUE,Fraud,26,
20265,M,A,LEASER/SUPLR CANNOT OPER,MISGAM,39,313025,PERSON LEASES PREMISE/SELLS OR LEASES EQUIPMENT OR SUPPLIES/FURNISHES COMMODITIES OR SERVICES TO CONDUCT BINGO - PARTICIPATED IN BINGO GAME,M,7,GAMBLING,TRUE,Gambling,39,
20272,M,A,FAIL TO REP CHANG TO COM,MISGAM,39,313030,FAILED TO IMMEDIATELY REPORT CHANGES IN OFFICERS/DIRECTORS/OFFICIALS TO COMMISSION,M,7,GAMBLING,TRUE,Gambling,39,
20275,M,A,LIC NOT DSPLD IN GAME AREA,MISGAM,39,313030,FAILED TO DISPLAY BINGO LICENSE IN AREA OF BINGO GAME,M,7,GAMBLING,TRUE,Gambling,39,
20277,M,A,INELIGIBLE OPR OF BINGO GAME,MISGAM,39,313035,INELIGIBLE PERSON/ORGANIZATION PARTICIPATE IN MANAGEMENT/CONDUCT/OPERATION OF BINGO GAME,M,7,GAMBLING,TRUE,Gambling,39,
20283,M,C,VIOL OF STATUTE 313040,MISGAM,39,313040,VIOLATION OF SECTION 313.040 - BINGO RESTRICTIONS,M,9,GAMBLING,TRUE,Gambling,39,
20284,F,D,MISUSE OF BINGO RECEIPTS,FELGAM,39,313040,MISUSE OF BINGO RECEIPTS,F,4,GAMBLING,TRUE,Gambling,39,
20286,M,C,LOANING OF BINGO RECEIPTS,MISGAM,39,313040,LOANING OF BINGO RECEIPTS,,9,GAMBLING,TRUE,Gambling,39,
20282,M,A,VIOL OF STATUTE 313040,MISGAM,39,313040,VIOLATION OF STATUTE 313040 BINGO RESTRICTION,,7,GAMBLING,TRUE,Gambling,39,
20285,M,A,NO ANNUAL REP TO GAMING,MISGAM,39,313045,FAILED TO MAKE ANNUAL REPORT TO GAMING COMMISSION,M,7,GAMBLING,TRUE,Gambling,39,
20290,M,A,FAIL KEEP 3YRS REC/INSPEC COMM,MISGAM,39,313050,FAILED TO KEEP 3 YEARS OF COMPLETE RECORDS OR TO OPEN RECORDS FOR INSPECTION BY GAMING COMMISSION,M,7,GAMBLING,TRUE,Gambling,39,
20295,M,A,VIOL STATUTE 313052,MISGAM,39,313052,VIOLATION OF SECTION 313.052 - DISCREDITING BINGO OPERATIONS,M,7,GAMBLING,TRUE,Gambling,39,
20300,M,,SUPPLIER FAILED TO PAY TAXES ON BINGO CARDS,MISGAM,20,313055,SUPPLIER FAILED TO PAY TAXES ON BINGO CARDS,M,12,ARSON,TRUE,Arson,20,
20310,M,A,VIOL STATUTE 313.057,MISGAM,39,313057,VIOLATION OF SECTION 313.057 - PERTAINING TO BINGO MANUFACTURERS/SUPPLIERS/HALL PROVIDERS,M,7,GAMBLING,TRUE,Gambling,39,
37050,M,A,FAIL TO PAY PULL-TAB-TAX,MISTAX,61,313057,FAILURE BY A DISTRIBUTOR TO PAY THE TAX ON ALL PULL-TAB CARDS,,7,TAX REVENUE,TRUE,Taxation,61,
20320,M,A,ILLEGAL RECPT FROM BINGO VET HOSP,MISGAM,39,313060,ILLEGAL DISPOSITION OF NET RECEIPTS FROM BINGO AT VETERAN'S HOSPITALS,M,7,GAMBLING,TRUE,Gambling,39,
20330,M,A,VIOL BINGO REG,MISGAM,39,313080,VIOLATION OF BINGO REGULATIONS,M,7,GAMBLING,TRUE,Gambling,39,
54100,M,A,VIO BINGO ACT,MISPUB,73,313080,VIOLATION OF BINGO ACT,,7,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
20100,M,A,VIO SELL LOTTERY TICKETS,MISGAM,39,313290,ILLEGAL SALE OF LOTTERY TICKETS,M,7,GAMBLING,TRUE,Gambling,39,
20110,F,C,ALT/FORG LOTTERY TICKET,FELGAM,39,313290,ALTERING LOTTERY TICKETS,F,3,GAMBLING,TRUE,Gambling,39,
20120,F,D,MANUF/POSS COUNTRFEIT LOTTERY TICKETS,FELGAM,39,313290,MANUFACTURING OR POSSESSING COUNTERFEIT LOTTERY TICKETS,F,4,GAMBLING,TRUE,Gambling,39,
20130,M,A,FRD PERSUADE ADV LOTTERY,MISGAM,39,313335,FALSE/FRAUDULENT PERSUASION INADVERTISING STATE LOTTERY,,7,GAMBLING,TRUE,Gambling,39,
29500,M,A,VIOL SUBPOENA ORDER,MISJUD,50,313550,REFUSE TO ANSWER SUBPOENA FROM MISSOURI HORSE RACING COMMISSION,M,7,OBSTRUCT JUSTICE,TRUE,Judicial Offense,50,
29510,F,D,TESTIFY FALSE UNDER OATH,FELJUD,50,313550,TESTIFY FALSELY UNDER OATH BEFORE MISSOURI HORSE RACING COMMISSION,F,4,OBSTRUCT JUSTICE,TRUE,Judicial Offense,50,
20140,F,B,FAILURE TO OBTAIN HORSE RACING TRACK LICENSE,FELGAM,39,313610,FAILURE TO OBTAIN HORSE RACING TRACK LICENSE,F,2,GAMBLING,TRUE,Gambling,39,
20150,F,C,OFF-TRACK WAGERING,FELGAM,39,313660,OFF-TRACK WAGERING,F,3,GAMBLING,TRUE,Gambling,39,
20160,M,A,MINOR WAGER/ATMPT WAGER/ENTER AREA,MISGAM,39,313670,MINOR WAGERING/ATTEMPT TO WAGER OR ALLOW MINOR TO WAGER OR ENTER WAGERING AREA,M,7,GAMBLING,TRUE,Gambling,39,
20200,F,B,RACE HORSE U/ASSUMED NAM,FELGAM,39,313680,RACING HORSES UNDER NON-REGISTERED NAME,F,2,GAMBLING,TRUE,Gambling,39,
20210,F,B,VIO 313.690 RE GAMING/HORSE RACES,FELGAM,39,313690,VIOLATE SECTION 313.690 REGARDING GAMING/HORSE RACES,F,2,GAMBLING,TRUE,Gambling,39,
20240,F,B,SALE/UNAUTHORIZED TICKET,FELGAM,39,313690,SALE OR ATTEMPTED SALE OF AN UNAUTHORIZED ADMISSION TICKET,,2,GAMBLING,TRUE,Gambling,39,
20230,F,B,PASS/CASH FRAUD TICKET,FELGAM,39,313690,PASSING OR ATTEMPTING TO PASS OR CASH FRAUDULENT PARIMUTUEL TICKET,,2,GAMBLING,TRUE,Gambling,39,
20220,F,B,BRIBE/EXTORT RACE OFFICIALS,FELGAM,39,313690,BRIBING OR EXTORTING RACE OFFICIALS,,2,GAMBLING,TRUE,Gambling,39,
20250,F,B,ADMINISTER DRUG TO HORSE,FELGAM,39,313700,ADMINISTERING UNAUTHORIZED DRUGS TO A HORSE,F,2,GAMBLING,TRUE,Gambling,39,
57001,M,B,TRESPASSING-1ST DEGREE-GAMBLING BOAT,MISDMG,57,313813,TRESPASSING 1ST DEGREE (GAMBLING BOAT),M,8,INVASION OF PRIVACY,TRUE,Privacy or Trespass,57,
20085,M,A,FALSE ID-GAMB BOAT-2ND,MISGAM,39,313817,"PRESENT FALSE IDENTIFICATION TO GAIN ENTRY TO GAMBLING BOAT, CASH, CHECK ,VERIFY PERSON IS LEGITIMATELY ENTITLED TO BE PRESENT ON BOAT - 2ND OR SUBSEQUENT OFFENSE",M,7,GAMBLING,TRUE,Gambling,39,
20090,M,B,FALSE ID-GAMB BOAT-1ST,MISGAM,39,313817,"PRESENT FALSE IDENTIFICATION TO GAIN ENTRY TO GAMBLING BOAT, CASH, CHECK, VERIFY PERSON IS LEGITIMATELY ENTITLED TO BE PRESENT ON BOAT - 1ST OFFENSE",M,8,GAMBLING,TRUE,Gambling,39,
20225,M,A,PERS UND 21 ATT-WAGR-2ND,MISGAM,39,313830,PERSON UNDER THE AGE OF 21 YEARS MAKE/ATTEMPT TO MAKE A WAGER WHILE ON AN EXCURSION GAMBLING BOAT - 2ND OR SUBSEQUENT OFFENSE,M,7,GAMBLING,TRUE,Gambling,39,
20227,M,B,PERS UND 21-ATT WAGR-1ST,MISGAM,39,313830,PERSON UNDER THE AGE OF 21 YEARS MAKE/ATTEMPT TO MAKE A WAGER WHILE ON AN EXCURSION GAMBLING BOAT - 1ST OFFENSE,M,8,GAMBLING,TRUE,Gambling,39,
20229,M,A,AID PERS UND 21-WAGR-2ND,MISGAM,39,313830,AIDING PERSON UNDER THE AGE OF 21 YEARS IN ENTERING GAMBLING BOAT OR MAKING/ATTEMPTING TO MAKE A WAGER WHILE ON SUCH BOAT- 2ND OR SUBSEQUENT OFFENSE,M,7,GAMBLING,TRUE,Gambling,39,
20231,M,B,AID PERS UND 21-WAGR-1ST,MISGAM,39,313830,AIDING PERSON UNDER THE AGE OF 21 YEARS IN ENTERING GAMBLING BOAT OR MAKING/ATTEMPTING TO MAKE A WAGER WHILE ON SUCH BOAT - 1ST OFFENSE,M,8,GAMBLING,TRUE,Gambling,39,
20257,M,A,PERS UND 21-WAGER-2ND,MISGAM,39,313830,PERMITTING PERSON UNDER THE AGE OF 21 YEARS TO MAKE WAGER -2ND OR SUBSEQUENT OFFENSE,M,7,GAMBLING,TRUE,Gambling,39,
20259,M,B,PERMIT UNDER 21 MAKE BET,MISGAM,39,313830,PERMITTING PERSON UNDER THE AGE OF 21 YEARS TO MAKE WAGER -1ST OFFENSE,M,8,GAMBLING,TRUE,Gambling,39,
20260,F,D,VIOL LAW-RIVERBOAT GAMB,FELGAM,39,313830,VIOLATION OF LAWS PERTAINING TO RIVER BOAT GAMBLING,F,4,GAMBLING,TRUE,Gambling,39,
20261,M,B,LICENSEE-ILLEGAL EXCHNGE,MISGAM,39,313830,LICENSEE EXCHANGE TOKENS ETC. FOR USE ON GAMBLING BOAT FOR ANYTHING OF VALUE EXCEPT WAGERS OR EXCHANGE OF MONEY OR PAY FOR FOOD OR DRINK,M,8,GAMBLING,TRUE,Gambling,39,
23159,M,B,TRESPASS-1ST-GAM BOAT,MISDMG,57,313833,TRESPASS-1ST DEGREE-(GAMBLING BOAT),,8,INVASION OF PRIVACY,TRUE,Privacy or Trespass,57,
36290,M,B,PUBLIC LODGING W/O LIC,MISHLT,55,315045,OPERATING LODGING ESTABLISHMENT WITHOUT A LICENSE,M,8,HEALTH AND SAFETY,TRUE,Health Violation,55,
36620,M,A,AMUS OWN-NO ACC RPT-24 HR,MISHLT,55,316209,OWNER OF AMUSEMENT RIDE FAIL TO SUBMIT TO DEPARTMENT OF PUBLIC SAFETY A COPY OF ACCIDENT REPORT OF SERIOUS PHYSICAL INJURY/DEATH WITHIN 24 HOURS,M,7,HEALTH AND SAFETY,TRUE,Health Violation,55,
